Id,Date,ValueNew,ValuePredicted
1,13-02-2017,190.51,
1,14-02-2017,187.74,
1,15-02-2017,185.11,
1,16-02-2017,184.61,
1,17-02-2017,182.9175,
1,18-02-2017,181.225,
1,19-02-2017,179.5325,
1,20-02-2017,177.84,
1,21-02-2017,178.32,
1,22-02-2017,178.79,
1,23-02-2017,178.01,
1,24-02-2017,177.795,
1,25-02-2017,177.58,
1,26-02-2017,177.365,
1,27-02-2017,177.15,
1,28-02-2017,179.14,
1,01-03-2017,179.86,
1,02-03-2017,177.21,
1,03-03-2017,178.875,
1,04-03-2017,180.54,
1,05-03-2017,182.205,
1,06-03-2017,183.87,
1,07-03-2017,182.97,
1,08-03-2017,179.64,
1,09-03-2017,179.11,
1,10-03-2017,182.2175,
1,11-03-2017,185.325,
1,12-03-2017,188.4325,
1,13-03-2017,191.54,
1,14-03-2017,187.62,
1,15-03-2017,185.81,
1,16-03-2017,185.67,
1,17-03-2017,181.0366667,
1,18-03-2017,176.4033333,
1,19-03-2017,171.77,
1,20-03-2017,190.8,
1,21-03-2017,180.34,
1,22-03-2017,181,
1,23-03-2017,179.02,
1,24-03-2017,180,
1,25-03-2017,180.98,
1,26-03-2017,181.96,
1,27-03-2017,182.94,
1,28-03-2017,183.34,
1,29-03-2017,184.89,
1,30-03-2017,184.42,
1,31-03-2017,186.215,
1,01-04-2017,188.01,
1,02-04-2017,189.805,
1,03-04-2017,191.6,
1,04-04-2017,184.84,
1,05-04-2017,183.21,
1,06-04-2017,180.36,
1,07-04-2017,183.6775,
1,08-04-2017,186.995,
1,09-04-2017,190.3125,
1,10-04-2017,193.63,
1,11-04-2017,191.19,
1,12-04-2017,192.56,
1,13-04-2017,189.01,
1,14-04-2017,189.1375,
1,15-04-2017,189.265,
1,16-04-2017,189.3925,
1,17-04-2017,189.52,
1,18-04-2017,187.75,
1,19-04-2017,188.45,
1,20-04-2017,187.67,
1,21-04-2017,189.225,
1,22-04-2017,190.78,
1,23-04-2017,192.335,
1,24-04-2017,193.89,
1,25-04-2017,192.41,
1,26-04-2017,190.44,
1,27-04-2017,183.78,
1,28-04-2017,175.35,
1,29-04-2017,180.8966667,
1,30-04-2017,186.4433333,
1,01-05-2017,191.99,
1,02-05-2017,193.15,
1,03-05-2017,194.39,
1,04-05-2017,185.36,
1,05-05-2017,188.825,
1,06-05-2017,192.29,
1,07-05-2017,195.755,
1,08-05-2017,199.22,
1,09-05-2017,195.96,
1,10-05-2017,193.34,
1,11-05-2017,188.89,
1,12-05-2017,190.31,
1,13-05-2017,191.73,
1,14-05-2017,193.15,
1,15-05-2017,194.57,
1,16-05-2017,192.39,
