CompressorId,OrganizationId,PS1,PD1,PS2,PD2,TS1,TD1,TS2,TD2,InsertedDate
0,1,0,2.34891,0,8.36257,16.86699,170.84906,21.97802,123.20326,8/3/2019
0,1,0,2.11289,0,7.73974,17.872,171.8266,22.98535,117.65607,8/3/2019
0,1,0,2.28189,0,8.26953,21.88616,174.6532,25.03053,120.50033,8/3/2019
0,1,0,2.34031,0,8.49153,23.89029,178.82242,27.5641,131.47694,8/3/2019
0,1,0,2.34396,0,8.2711,27.90053,181.35458,32.69231,132.32492,8/3/2019
0,1,0,1.9195,0,7.49594,23.8844,178.63399,29.18193,125.34087,8/3/2019
0,1,0,2.03751,0,7.63531,22.88332,177.04991,27.5641,121.98429,8/3/2019
0,1,0,2.31687,0,8.26697,21.88223,176.83203,26.67888,122.47305,9/3/2019
0,1,0,2.32441,0,8.39044,21.88223,176.05472,26.06838,126.94261,9/3/2019
0,1,0,2.3038,0,8.30702,21.88812,175.64839,25.9768,124.62833,9/3/2019
0,1,0,2.32771,0,8.33077,27.90249,180.64204,30.15873,129.6161,9/3/2019
0,1,0,2.38177,0,8.34058,28.91928,185.55325,35.16484,135.93472,13-03-2019
0,1,0,2.36575,0,8.18649,28.91928,183.55698,34.55434,130.45819,13-03-2019
0,1,0,2.38118,0,8.26128,27.91623,183.9574,34.06593,133.69699,14-03-2019
0,1,0,2.38813,0,8.29799,26.91514,185.30594,33.45543,137.38335,14-03-2019
0,1,0,2.34314,0,8.46896,25.91209,182.73254,31.62393,137.0948,14-03-2019
0,1,0,2.38,0,8.40085,29.92429,188.32095,35.43956,141.79991,14-03-2019
0,1,0,2.36233,0,8.31938,25.91209,181.97879,31.71551,131.99515,14-03-2019
0,1,0,2.28366,0,8.10503,22.89313,179.39363,28.44933,124.93455,15-03-2019
0,1,0,2.35291,0,8.32782,29.92822,183.89853,32.93651,132.51337,15-03-2019
0,1,0,2.31369,0,8.3765,30.93323,186.44833,35.62271,134.26231,15-03-2019
0,1,0,2.31652,0,8.14449,31.94609,186.43068,36.23322,133.38489,15-03-2019
0,1,0,2.36669,0,8.40457,30.94501,186.90178,36.23322,137.31268,15-03-2019
0,1,0,2.34973,0,8.16961,35.98577,191.05334,41.81929,139.19708,20-03-2019
0,1,0,2.26352,0,7.90384,25.9435,180.27695,31.16606,126.91317,21-03-2019
0,1,0,2.26093,0,8.01337,20.92629,175.45407,26.0989,120.37666,21-03-2019
0,1,0,2.30992,0,8.31271,21.92934,176.82614,26.89255,125.84731,21-03-2019
0,1,0,2.31781,0,8.33214,22.93043,177.80956,27.35043,126.95439,21-03-2019
0,1,0,2.2707,0,8.24224,20.91255,175.6955,25.39683,123.11493,22-03-2019
0,1,0,2.32606,0,8.42617,21.91167,177.78601,26.77045,130.23442,22-03-2019
0,1,0,2.31169,0,8.38612,18.90057,173.68155,23.62638,126.38907,22-03-2019
0,1,0,2.2031,0,7.84887,24.9169,179.31708,28.69353,124.72256,22-03-2019
0,1,0,2.29402,0,8.21849,26.92496,180.10028,31.28816,126.31841,22-03-2019
0,1,0,2.08109,0,7.66711,22.91472,177.46213,28.08303,123.58603,22-03-2019
0,1,0,2.27883,0,8.12133,21.90971,177.11469,27.41148,122.68505,22-03-2019
0,1,0,2.27165,0,8.15313,20.90666,177.32669,26.92308,124.58711,23-03-2019
0,1,0,2.31923,0,8.38867,20.90666,177.69768,26.25153,130.6113,23-03-2019
0,1,0,2.28413,0,8.14351,28.93106,183.31554,34.89011,132.56047,27-03-2019
0,1,0,2.32606,0,8.32194,27.92015,180.65971,32.99756,132.14236,27-03-2019
