,Date,TD1,TD1New
160,2016-12-05,,188.50176470588235
161,2016-12-06,,188.89117647058822
162,2016-12-07,,189.28058823529412
163,2016-12-08,189.67,189.67
164,2016-12-09,,182.31
165,2016-12-10,,174.95
166,2016-12-11,,167.58999999999997
167,2016-12-12,160.23,160.23
168,2016-12-13,,162.8875
169,2016-12-14,,165.545
170,2016-12-15,,168.2025
171,2016-12-16,,170.86
172,2016-12-17,,173.5175
173,2016-12-18,,176.175
174,2016-12-19,,178.8325
175,2016-12-20,181.49,181.49
176,2016-12-21,,182.77
177,2016-12-22,184.05,184.05
178,2016-12-23,,184.40535714285716
179,2016-12-24,,184.7607142857143
180,2016-12-25,,185.11607142857144
181,2016-12-26,,185.4714285714286
182,2016-12-27,,185.82678571428573
183,2016-12-28,,186.18214285714288
184,2016-12-29,,186.53750000000002
185,2016-12-30,,186.89285714285714
186,2016-12-31,,187.24821428571428
187,2017-01-01,,187.60357142857143
188,2017-01-02,,187.95892857142857
189,2017-01-03,,188.31428571428572
190,2017-01-04,,188.66964285714286
191,2017-01-05,,189.025
192,2017-01-06,,189.38035714285715
193,2017-01-07,,189.7357142857143
194,2017-01-08,,190.09107142857144
195,2017-01-09,,190.44642857142858
196,2017-01-10,,190.80178571428573
197,2017-01-11,,191.15714285714287
198,2017-01-12,,191.5125
199,2017-01-13,,191.86785714285713
200,2017-01-14,,192.22321428571428
201,2017-01-15,,192.57857142857142
202,2017-01-16,,192.93392857142857
203,2017-01-17,,193.2892857142857
204,2017-01-18,,193.64464285714286
205,2017-01-19,194.0,194.0
206,2017-01-20,,191.33333333333334
207,2017-01-21,,188.66666666666666
208,2017-01-22,,186.0
209,2017-01-23,,183.33333333333334
210,2017-01-24,,180.66666666666666
211,2017-01-25,178.0,178.0
212,2017-01-26,,177.83333333333334
213,2017-01-27,,177.66666666666666
214,2017-01-28,,177.5
215,2017-01-29,,177.33333333333334
216,2017-01-30,,177.16666666666666
217,2017-01-31,177.0,177.0
218,2017-02-01,,184.5
219,2017-02-02,192.0,192.0
220,2017-02-03,,191.1818181818182
221,2017-02-04,,190.36363636363637
222,2017-02-05,,189.54545454545453
223,2017-02-06,,188.72727272727272
224,2017-02-07,,187.9090909090909
225,2017-02-08,,187.0909090909091
226,2017-02-09,,186.27272727272728
227,2017-02-10,,185.45454545454547
228,2017-02-11,,184.63636363636363
229,2017-02-12,,183.8181818181818
230,2017-02-13,183.0,183.0
231,2017-02-14,,183.8125
232,2017-02-15,,184.625
233,2017-02-16,,185.4375
234,2017-02-17,,186.25
235,2017-02-18,,187.0625
236,2017-02-19,,187.875
237,2017-02-20,,188.6875
238,2017-02-21,,189.5
239,2017-02-22,,190.3125
240,2017-02-23,,191.125
241,2017-02-24,,191.9375
242,2017-02-25,,192.75
243,2017-02-26,,193.5625
244,2017-02-27,,194.375
245,2017-02-28,,195.1875
246,2017-03-01,196.0,196.0
247,2017-03-02,174.0,174.0
248,2017-03-03,,175.0
249,2017-03-04,,176.0
250,2017-03-05,,177.0
251,2017-03-06,,178.0
252,2017-03-07,,179.0
253,2017-03-08,,180.0
254,2017-03-09,181.0,181.0
255,2017-03-10,,182.14285714285714
256,2017-03-11,,183.28571428571428
257,2017-03-12,,184.42857142857142
258,2017-03-13,,185.57142857142858
259,2017-03-14,,186.71428571428572
260,2017-03-15,,187.85714285714286
261,2017-03-16,189.0,189.0
262,2017-03-17,,187.57142857142858
263,2017-03-18,,186.14285714285714
264,2017-03-19,,184.71428571428572
265,2017-03-20,,183.28571428571428
266,2017-03-21,,181.85714285714286
267,2017-03-22,,180.42857142857142
268,2017-03-23,179.0,179.0
269,2017-03-24,,180.28571428571428
270,2017-03-25,,181.57142857142858
