Date,TD1New,seasonal,trend,resid,resses,datemonth,TD1Predicted
2018-04-29,188.4795918367347,6.132305460674326,180.19667318982388,2.1506131862364892,8.282918646910815,04/29,
2018-04-30,188.44897959183675,6.260763220138353,180.17935420743638,2.008862164262018,8.26962538440037,04/30,
2018-05-01,188.4183673469388,6.388590942972299,180.16115459882582,1.8686218051406778,8.257212748112977,05/01,
2018-05-02,188.3877551020408,6.515788629176185,180.14328767123288,1.7286788016317454,8.24446743080793,05/02,
2018-05-03,188.3571428571429,6.643425976175947,180.12575342465755,1.5879634563093967,8.231389432485344,05/03,
2018-05-04,188.3265306122449,6.771246239194193,180.1093220934317,1.4459622796190157,8.217208518813209,05/04,
2018-05-05,188.29591836734693,6.899249418231017,180.09399367755535,1.302675271560565,8.201924689791582,05/05,
2018-05-06,188.26530612244895,7.0274355132863535,180.07976817702846,1.1581024321341387,8.185537945420492,05/06,
2018-05-07,188.23469387755105,7.15580452436023,180.06664559185108,1.0122437613397377,8.168048285699967,05/07,
2018-05-08,188.20408163265307,7.284356451452628,180.05462592202318,0.8650992591772662,8.149455710629894,05/08,
2018-05-09,188.1734693877551,7.413091294563547,180.0437091675448,0.7166689256467533,8.1297602202103,05/09,
2018-05-10,188.14285714285717,7.477060363474327,180.0338953284159,0.6319014509669456,8.108961814441273,05/10,
2018-05-11,188.1122448979592,7.540956640641075,180.02518440463646,0.5461038526816493,8.087060493322724,05/11,
2018-05-12,188.08163265306123,7.6047801260638,180.01753725726329,0.45931526973414893,8.064095395797949,05/12,
2018-05-13,188.05102040816325,7.668530819742466,180.0109538862964,0.3715357021243957,8.040066521866862,05/13,
2018-05-14,188.0204081632653,7.732208721677148,180.0054342917357,0.28276514985245704,8.014973871529605,05/14,
2018-05-15,187.98979591836732,7.7958138318677985,180.0009784735812,0.19300361291832324,7.988817444786122,05/15,
2018-05-16,187.9591836734694,7.859346150314446,179.99758643183299,0.10225109132196586,7.961597241636412,05/16,
2018-05-17,187.92857142857144,7.922710438921792,179.99525816649106,0.01060282315859773,7.9333132620803894,05/17,
2018-05-18,187.89795918367344,7.985906697689875,179.99399367755535,-0.08194119157179092,7.903965506118084,05/18,
2018-05-19,187.8673469387755,8.060839688523473,179.98987907070102,-0.1833718204489827,7.87746786807449,05/19,
2018-05-20,187.8367346938776,8.135604649517825,179.98291434592807,-0.2817843015683028,7.853820347949522,05/20,
2018-05-21,187.8061224489796,8.210201580672907,179.97309950323654,-0.37717863492983916,7.833022945743068,05/21,
2018-05-22,187.77551020408163,8.284630481988714,179.96043454262633,-0.4695548205334177,7.815075661455296,05/22,
2018-05-23,187.74489795918367,8.358891353465257,179.94491946409755,-0.5589128583791343,7.799978495086123,05/23,
2018-05-24,187.7142857142857,8.433414186277071,179.92655426765018,-0.6456827396415523,7.787731446635519,05/24,
2018-05-25,187.6836734693877,8.508198980424192,179.90533895328417,-0.7298644643206504,7.778334516103541,05/25,
2018-05-26,187.6530612244898,8.107055259716148,179.88689529648437,-0.3408893317107271,7.766165928005421,05/26,
2018-05-27,187.62244897959184,7.706173500343353,179.8712232972507,0.04505218199777605,7.751225682341129,05/27,
2018-05-28,187.59183673469389,7.305553702305885,179.85832295558325,0.42796007680475245,7.733513779110638,05/28,
2018-05-29,187.5612244897959,6.905195865603696,179.84819427148193,0.8078343527102785,7.713030218313975,05/29,
2018-05-30,187.53061224489795,6.505099990236785,179.84083724494684,1.1846750097143266,7.689774999951112,05/30,
2018-05-31,187.5,6.105266076205182,179.8362518759779,1.5584820478169243,7.663748124022106,05/31,
2018-06-01,187.46938775510205,5.705694123508858,179.83443816457515,1.9292554670180433,7.634949590526901,06/01,
2018-06-02,187.4387755102041,5.7349555607192375,179.8353961107386,1.8684238387462582,7.603379399465496,06/02,
2018-06-03,187.4081632653061,5.764478959264887,179.8391257144682,1.804558591573004,7.569037550837891,06/03,
2018-06-04,187.37755102040816,5.7942643191458805,179.845626975764,1.7376597254982906,7.531924044644171,06/04,
2018-06-05,187.3469387755102,5.824311640362135,179.85489989462593,1.6677272405221455,7.49203888088428,06/05,
2018-06-06,187.31632653061223,5.854620922913677,179.86363189322094,1.5980737144776125,7.452694637391289,06/06,
2018-06-07,187.28571428571428,5.885192166800535,179.871822971549,1.5286991473647484,7.413891314165284,06/07,
2018-06-08,187.25510204081635,5.9160253720226725,179.87947312961012,1.4596035391835622,7.375628911206235,06/08,
2018-06-09,187.2244897959184,5.8995014909610335,179.88658236740432,1.4384059375530525,7.337907428514086,06/09,
2018-06-10,187.1938775510204,5.8761624828650785,179.89315068493153,1.424564383223787,7.300726866088866,06/10,
2018-06-11,187.16326530612244,5.739278113823994,179.8991780821918,1.5248091101066361,7.26408722393063,06/11,
2018-06-12,187.1326530612245,5.711766511922955,179.90301369863016,1.5178728506713721,7.229639362594327,06/12,
2018-06-13,187.1020408163265,5.674857649747944,179.9046575342466,1.5225256323319538,7.1973832820798975,06/13,
2018-06-14,187.07142857142856,5.642274130038709,179.9041095890411,1.5250448523487474,7.167318982387457,06/14,
2018-06-15,187.0408163265306,5.6140159527952225,179.90136986301368,1.525430510721696,7.139446463516919,06/15,
2018-06-16,187.01020408163265,5.617860895795255,179.89452054794523,1.4978226378921615,7.115683533687417,06/16,
2018-06-17,186.9795918367347,5.626031181261036,179.88356164383563,1.4699990116380288,7.096030192899065,06/17,
2018-06-18,186.94897959183675,5.638526809192564,179.86849315068494,1.4419596319592412,7.080486441151805,06/18,
2018-06-19,186.9183673469388,5.655347779589883,179.84931506849315,1.4137044988557559,7.069052278445639,06/19,
2018-06-20,186.8877551020408,5.6764940924529075,179.82602739726028,1.3852336123276299,7.061727704780537,06/20,
2018-06-21,186.8571428571429,5.7019657477817365,179.79863013698628,1.3565469723748773,7.058512720156614,06/21,
2018-06-22,186.8265306122449,5.729875759274899,179.76712328767124,1.3295315652987707,7.0594073245736695,06/22,
2018-06-23,186.79591836734693,5.76022412693248,179.73581213307241,1.2998821073420341,7.060106234274514,06/23,
2018-06-24,186.76530612244895,5.791744216703501,179.70469667318986,1.268865232555589,7.06060944925909,06/24,
2018-06-25,186.73469387755105,5.824436028588119,179.67377690802348,1.2364809409394493,7.060916969527568,06/25,
2018-06-26,186.70408163265307,5.858299562586177,179.64305283757338,1.2027292324935157,7.061028795079693,06/26,
2018-06-27,186.6734693877551,5.893334818697733,179.6125244618395,1.167610107217845,7.060944925915578,06/27,
2018-06-28,186.64285714285717,6.557649239389116,179.58219178082192,0.5030161226461356,7.060665362035252,06/28,
2018-06-29,186.6122448979592,7.258248517412193,179.55205479452056,-0.19805841397356438,7.060190103438629,06/29,
2018-06-30,186.58163265306123,7.959628943510954,179.5221135029354,-0.9001097933851314,7.059519150125823,06/30,
2018-07-01,186.55102040816325,7.367742898637748,179.49236790606653,-0.3090903965410279,7.05865250209672,07/01,
2018-07-02,186.5204081632653,6.776638001840245,179.4628180039139,0.28095215751116154,7.057590159351406,07/02,
2018-07-03,186.48979591836732,6.1863142531183675,179.4334637964775,0.8700178687714564,7.056332121889824,07/03,
2018-07-04,186.4591836734694,5.673491229191744,179.40430528375734,1.3813871605203145,7.054878389712059,07/04,
2018-07-05,186.42857142857144,5.1614493533408226,179.3753424657534,1.891779609477231,7.053228962818054,07/05,
2018-07-06,186.39795918367344,4.6496724452995055,179.34812388326384,2.400162855110092,7.0498353004095975,07/06,
2018-07-07,186.3673469387755,4.138160505067849,179.3206925891262,2.908493844581467,7.046654349649316,07/07,
2018-07-08,186.3367346938776,3.6269135326458053,179.29304858334046,3.4167725778913183,7.043686110537124,07/08,
2018-07-09,186.3061224489796,3.1159315280333946,179.2651918659066,3.924999055039626,7.04093058307302,07/09,
2018-07-10,186.27551020408163,2.605214491230654,179.23712243682465,4.433173276026324,7.038387767256978,07/10,
2018-07-11,186.24489795918367,2.19000051747561,179.20884029609465,4.846057145613415,7.036057663089025,07/11,
2018-07-12,186.2142857142857,1.7750515115302357,179.1803454437165,5.258888759038954,7.03394027056919,07/12,
2018-07-13,186.1836734693877,1.360367473394475,179.1516378796903,5.67166811630294,7.032035589697415,07/13,
2018-07-14,186.1530612244898,0.9459484030683374,179.12663149834088,6.080481323080567,7.026429726148905,07/14,
2018-07-15,186.12244897959184,5.7425085862661875,179.10532629966818,1.2746140936574717,7.017122679923659,07/15,
2018-07-16,186.09183673469389,10.539333737273632,179.08772228367226,-3.53521928625201,7.004114451021621,07/16,
2018-07-17,186.0612244897959,10.956646078312923,179.0738194503531,-3.9692410388701322,6.987405039442791,07/17,
2018-07-18,186.03061224489795,10.898032910971384,179.06361779971076,-3.9310384657841873,6.966994445187197,07/18,
2018-07-19,186.0,10.839684711439478,179.0571173317451,-3.8968020431845822,6.942882668254896,07/19,
2018-07-20,186.2142857142857,10.863234132778448,179.05431804645622,-3.703266464948971,7.159967667829477,07/20,
2018-07-21,186.42857142857144,10.88704852192706,179.05287160724922,-3.511348700604831,7.375699821322229,07/21,
2018-07-22,186.64285714285717,10.908368039789853,179.05277801412404,-3.3182889110567295,7.590079128733123,07/22,
2018-07-23,186.8571428571429,10.927192686366817,179.05403726708076,-3.1240870963046863,7.803105590062131,07/23,
2018-07-24,187.07142857142856,10.943522461657963,179.05664936611927,-2.9287432563486817,8.014779205309281,07/24,
2018-07-25,187.28571428571428,11.338309746615668,179.06061431123968,-3.113209772141065,8.225099974474603,07/25,
2018-07-26,187.5,11.730602160287564,179.0659321024419,-3.2965342627294696,8.434067897558094,07/26,
2018-07-27,187.7142857142857,12.120399702673632,179.072602739726,-3.478716728113932,8.6416829745597,07/27,
2018-07-28,187.92857142857144,12.509985478796745,179.07770859277707,-3.6591226430023713,8.850862835794373,07/28,
2018-07-29,188.14285714285717,12.899359488656845,179.0812496615951,-3.837752007394787,9.061607481262058,07/29,
2018-07-30,188.3571428571429,13.288521732253926,179.08322594618008,-4.014604821291115,9.27391691096281,07/30,
2018-07-31,188.57142857142856,13.67747220958806,179.083637446532,-4.1896810846915145,9.487791124896546,07/31,
2018-08-01,188.78571428571428,10.386464888913181,179.0824841626509,-0.6832347658498037,9.703230123063378,08/01,
2018-08-02,189.0,15.445245801975284,179.07976609453675,-5.525011896512035,9.920233905463249,08/02,
2018-08-03,189.02564102564105,14.007934907962886,179.0754832421896,-4.057777124511427,9.95015778345146,08/03,
2018-08-04,189.05128205128204,12.577413769757493,179.06963560560942,-2.5957673240848695,9.981646445672624,08/04,
2018-08-05,189.07692307692307,11.146085874283145,179.06222318479615,-1.1313859821562318,10.014699892126913,08/05,
2018-08-06,189.1025641025641,9.713951221539896,179.05324597974985,0.3353669012743463,10.049318122814242,08/06,
2018-08-07,189.12820512820517,8.2810098115277,179.0427039904705,1.8044913262069677,10.085501137734667,08/07,
2018-08-08,189.15384615384616,6.94249973948465,179.03429762613803,3.177048788223483,10.119548527708133,08/08,
2018-08-09,189.1794871794872,5.603182910172662,179.02802688675234,4.548277382562206,10.151460292734868,08/09,
2018-08-10,189.2051282051282,3.879725990258402,179.02389177231348,6.301510442556326,10.181236432814728,08/10,
2018-08-11,189.23076923076923,4.0518259494388404,179.02189228282143,6.15705099850896,10.2088769479478,08/11,
2018-08-12,189.25641025641025,4.223119151350369,179.0220284182762,6.011262686783686,10.234381838134055,08/12,
2018-08-13,189.28205128205127,4.3936055959929705,179.02430017867778,5.864145507380523,10.257751103373494,08/13,
2018-08-14,189.30769230769232,4.563285283366596,179.0287075640262,5.715699460299519,10.278984743666115,08/14,
2018-08-15,189.33333333333331,4.54168202299508,179.05599421424319,5.735657096095049,10.27733911909013,08/15,
2018-08-16,189.3589743589744,4.520761212494576,179.10616012932869,5.732053017151132,10.252814229645708,08/16,
2018-08-17,189.3846153846154,4.500522851864999,179.17920530928274,5.704887223467652,10.20541007533265,08/17,
2018-08-18,189.4102564102564,4.480966941106368,179.27512975410534,5.654159715044704,10.135126656151073,08/18,
2018-08-19,189.43589743589743,4.462093480218731,179.39393346379646,5.579870491882242,10.041963972100973,08/19,
2018-08-20,189.46153846153845,4.443902469202,179.53561643835616,5.482019553980295,9.925922023182295,08/20,
2018-08-21,189.48717948717947,4.42651869888977,179.69980430528378,5.360856483005928,9.787375181895698,08/21,
2018-08-22,189.51282051282053,4.545959485299405,179.8391389432485,5.127722084272606,9.673681569572011,08/22,
2018-08-23,189.53846153846155,5.070493226699232,179.95362035225048,4.514347959511833,9.584841186211065,08/23,
2018-08-24,189.56410256410257,5.595834208803537,180.0432485322896,3.9250198230094364,9.520854031812974,08/24,
2018-08-25,189.5897435897436,6.121982431612361,180.1080234833659,3.3597376747653183,9.48172010637768,08/25,
2018-08-26,189.6153846153846,6.648937895125683,180.14794520547943,2.8185015147794994,9.467439409905182,08/26,
2018-08-27,189.64102564102564,7.176700599343504,180.16301369863012,2.3013113430520074,9.478011942395511,08/27,
2018-08-28,189.66666666666663,7.705270544265824,180.15322896281796,1.8081671595828421,9.513437703848666,08/28,
2018-08-29,189.69230769230768,8.234647729892652,180.14168297455967,1.3159769878553558,9.550624717748008,08/29,
